COURSE COD,COURSE TITLE,CREDITS,SLOT,EMPLOYEE NAME
BSTS102P,Quantitative Skills Practice II,1.5,F1+TF1,FACE (APT)
BSTS102P,Quantitative Skills Practice II,1.5,F2+TF2,SMART (APT)
BMAT102L,Differential Equations and Transforms,4,A1+TA1+TAA1,KALAIVANI K
BMAT102L,Differential Equations and Transforms,4,A1+TA1+TAA1,POORNIMA T
BMAT102L,Differential Equations and Transforms,4,A1+TA1+TAA1,RAMU GEDDAVALASA
BMAT102L,Differential Equations and Transforms,4,A1+TA1+TAA1,PRABHUJIT MOHAPATRA
BMAT102L,Differential Equations and Transforms,4,A1+TA1+TAA1,DEBAROTI DAS
BMAT102L,Differential Equations and Transforms,4,A1+TA1+TAA1,ABHISHEK DAS
BMAT102L,Differential Equations and Transforms,4,A1+TA1+TAA1,CLEMENT J
BMAT102L,Differential Equations and Transforms,4,A1+TA1+TAA1,VIJAYAKUMAR V
BMAT102L,Differential Equations and Transforms,4,A1+TA1+TAA1,BALASUBRAMANI N
BMAT102L,Differential Equations and Transforms,4,A2+TA2+TAA2,SELVAKUMAR R
BMAT102L,Differential Equations and Transforms,4,A2+TA2+TAA2,TAMIZHARASI R
BMAT102L,Differential Equations and Transforms,4,A1+TA1+TAA1,SANJAY KUMAR MOHANTY
BMAT102L,Differential Equations and Transforms,4,A2+TA2+TAA2,SANJAY KUMAR MOHANTY
BMAT102L,Differential Equations and Transforms,4,A2+TA2+TAA2,RAJAN CHATTAMVALLI
BMAT102L,Differential Equations and Transforms,4,A2+TA2+TAA2,SUMANT KUMAR
BMAT102L,Differential Equations and Transforms,4,A2+TA2+TAA2,MUBASHIR UNNISSA M
BMAT102L,Differential Equations and Transforms,4,A2+TA2+TAA2,MELLACHERUVU NAGA SRINIVASU
BMAT102L,Differential Equations and Transforms,4,A2+TA2+TAA2,VEERAMANI S
BMAT102L,Differential Equations and Transforms,4,A2+TA2+TAA2,PERI KAMESWARA KAMESWARAN
BMAT102L,Differential Equations and Transforms,4,A2+TA2+TAA2,KALPANA PRIYA D
BMAT102L,Differential Equations and Transforms,4,A2+TA2+TAA2,BALAJI S
BMAT102L,Differential Equations and Transforms,4,C1+TC1+TCC1,UMAKANTA MISHRA
BMAT102L,Differential Equations and Transforms,4,C1+TC1+TCC1,RAMESH KUMAR D
BMAT102L,Differential Equations and Transforms,4,C1+TC1+TCC1,DINESH KUMAR S
BMAT102L,Differential Equations and Transforms,4,C1+TC1+TCC1,KARTHIKA K
BMAT102L,Differential Equations and Transforms,4,C2+TC2+TCC2,NAGA SATYA SRINIVAS AKKIRAJU
BMAT102L,Differential Equations and Transforms,4,C2+TC2+TCC2,VIJAYAKUMAR V
BMAT102L,Differential Equations and Transforms,4,C2+TC2+TCC2,MONICA C
BMAT102L,Differential Equations and Transforms,4,A1+TA1+TAA1,VIJAYA K
BMAT102L,Differential Equations and Transforms,4,A1+TA1+TAA1,MURUGUSUNDARAMOORTHY G
BMAT102L,Differential Equations and Transforms,4,A1+TA1+TAA1,ROY.S
